"Bibliothek/Archiv","Online-Recherche (z.B. Datenbanken)","Persönliche Kontakte/Kommunikation mit Kollegen","Eigenes Archiv","Sonstiges"
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,Private Sammlungen
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,
Ja,Nein,Nein,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,was mir so über den Weg läuft
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Nein,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
N/A,N/A,N/A,N/A,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Nein,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Ja,
Ja,Ja,Nein,Ja,
Ja,Ja,Ja,Ja,Online-Ressourcen
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Nein,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,Feldforschung
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Nein,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,Internet (aber nachrangig)
Ja,Ja,Ja,Ja,
Nein,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,Twitter
Ja,Ja,Nein,Ja,
N/A,N/A,N/A,N/A,
Ja,Ja,Ja,Ja,
Nein,Ja,Ja,Nein,
Ja,Ja,Nein,Ja,
Ja,Ja,Nein,Nein,
N/A,N/A,N/A,N/A,
Ja,Ja,Ja,Ja,
N/A,N/A,N/A,N/A,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
N/A,N/A,N/A,N/A,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Ja,
Ja,Ja,Nein,Ja,
Ja,Ja,Ja,Nein,
Ja,Ja,Nein,Nein,
Ja,Ja,Ja,Nein,
