Antwort ID.. ,Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004],Welche Software.. [SQ001],Welche Software.. [SQ002],Welche Software.. [SQ003],Welche Software.. [SQ004]
1,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,Focuswriter,,,,yacy,citavi,regain,,Focuswriter,,,,Textgrid,Copyxml Editor,Oxygen XML Editor,,Lyx/Tex,Word (weil man muss),,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,MS Word,MS OneNote,Chrome,,citavi,Zettelkasten,MS OneNote,,Zettelkasten,citavi,MS Word,,citavi,Zettelkasten,Ms Word,,MS Word,Adobe Acrobat,,
11,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,
18,Chrome,MS Word,MS OneNote,Feedly,MS Word,,,,Chrome,Feedly,,,MS Word,,,,MS Word,,,,MS Word,Chrome,Acrobat PDF,
20,,,,,,,,,,,,,,,,,,,,,,,,
21,Schreibprogramm (wie Word),Speicherplatz für Forschungsdaten,,,MS Word,Datenmanagementplan,MS Visio,,MS Word,Mindmapping-Tools,MS Excel,,MS Word,Mindmapping-Tools,,,MS Word,MS Excel,MS Visio,,MS Word,MS Excel,Adobe Acrobat,
22,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,MS Word,Papers,Prezi,Evernote,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,Google Kalender,MS Word,Thunderbird,Filemaker,Filemaker,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,DokuWiki,MSWord für Mac,FileMaker Pro,TextEdit,MS Word für Mac,FileMaker Pro,TextEdit,Adobe Bridge,FileMaker Pro,MS Word für Mac,LaTex,,FileMaker Pro,Adobe Bridge,,,LaTex,MS Word für Mac,,
35,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,MS Word,Google docs,,,,,,,,,,,TreeTagger,AntConc,ParaConc,Sketch Engine,MS Word,Google Docs,,
51,,,,,,,,,,,,,,,,,,,,,,,,
52,Libre Office,Issue Tracker (Redmine),Bilddatenbanksystem,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,MS Word,MS Excel,MS Powerpoint,,,,,,,,,,,,,,,,,
55,,,,,textverarbeitung,tabellenkalkulation,,,,,,,textverarbeitung,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,
60,Firefox,MS Word,Adobe Photoshop/Indesign,Edirom,,,,,,,,,,,,,,,,,,,,
