p1,p2,p3,p4,p5
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Unsicher,Ja,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
,Ja,,Ja,
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,Unsicher
Ja,Ja,Unsicher,Ja,Ja
Ja,Ja,Unsicher,Unsicher,Nein
Unsicher,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,,
Nein,Ja,Nein,Nein,Ja
Ja,Ja,Ja,Ja,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,
Unsicher,Ja,Nein,Nein,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Unsicher,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Nein,Nein,Ja,Nein,Nein
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Unsicher,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Nein,Ja,Ja
Ja,Ja,Ja,Ja,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Unsicher,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Unsicher,Ja,Unsicher,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Unsicher,Ja,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,
Ja,Ja,Ja,Ja,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
,,,,
Ja,Ja,Ja,Ja,Ja
Ja,Ja,,,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Unsicher,Ja,Unsicher
,,,,
Ja,Ja,,Ja,Ja
,,,,
Ja,Ja,Ja,Unsicher,Unsicher
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Unsicher,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
,,,,
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
Ja,Ja,Ja,Ja,Ja
